,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
22,1100,35.0,113,0.006647125000199594,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999331963927481,1,1250
23,1150,35.0,113,0.006647125000199594,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999331963927481,1,1250
24,1200,35.0,113,0.006647125000199594,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999331963927481,1,1250
25,1250,35.0,113,0.006647125000199594,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,1,0.99,0.001,0.9999331963927481,1,1250
26,0,18.0,0,3.779199960263213e-05,"[np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1)]",geometric,10,0.99,0.001,9.999996201777835,10,1250
27,50,43.0,82,0.0026777499997479026,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.999730880753031,10,1250
28,100,42.0,151,0.005776166999567067,"[np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.999419492667174,10,1250
29,150,43.0,205,0.009344584000245959,"[np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.999060882023752,10,1250
30,200,47.0,258,0.01692541699958383,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.998299083419202,10,1250
31,250,47.0,308,0.02455870900030277,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997532071847768,10,1250
32,300,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
33,350,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
34,400,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
35,450,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
36,500,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
37,550,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
38,600,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
39,650,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
40,700,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
41,750,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
42,800,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
43,850,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
44,900,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
45,950,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
46,1000,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
47,1050,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
48,1100,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
49,1150,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
50,1200,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
51,1250,47.0,332,0.02866825000000972,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1)]",geometric,10,0.99,0.001,9.997119159633453,10,1250
52,0,18.0,0,4.1541999962646514e-05,"[np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1)]",geometric,50,0.99,0.001,49.99997912445178,50,1250
53,50,36.0,95,0.003763125000659784,"[np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.99810900225386,50,1250
54,100,28.0,183,0.012079375000212167,"[np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.993930279662244,50,1250
55,150,36.0,271,0.017063375000361702,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,50,0.99,0.001,49.9914261027238,50,1250
56,200,14.0,346,0.026759833000141953,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0)]",geometric,50,0.99,0.001,49.986554542675634,50,1250
57,250,40.0,423,0.03302200000052835,"[np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.983408643812126,50,1250
58,300,44.0,486,0.04107112500059884,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.97936532906142,50,1250
59,350,40.0,548,0.052674417000162066,"[np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.973537226168865,50,1250
60,400,39.0,602,0.06124287500006176,"[np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.969233896296835,50,1250
61,450,46.0,657,0.07364516699999513,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.96300575937586,50,1250
62,500,46.0,707,0.08224070800042682,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.958689737971284,50,1250
63,550,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
64,600,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
65,650,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
66,700,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
67,750,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
68,800,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
69,850,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
70,900,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
71,950,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
72,1000,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
73,1050,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
74,1100,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
75,1150,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
76,1200,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
77,1250,46.0,733,0.09172758300064743,"[np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,50,0.99,0.001,49.95392658983131,50,1250
78,0,18.0,0,5.2041999879293144e-05,"[np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1)]",geometric,100,0.99,0.001,99.99994769605594,100,1250
79,50,22.0,97,0.007961166999848501,"[np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0)]",geometric,100,0.99,0.001,99.99199907987726,100,1250
80,100,29.0,194,0.01816004200009047,"[np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1)]",geometric,100,0.99,0.001,99.98175021335473,100,1250
81,150,38.0,285,0.024661583999659342,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,100,0.99,0.001,99.97521735121828,100,1250
82,200,27.0,379,0.038304417000290414,"[np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(1)]",geometric,100,0.99,0.001,99.96151018367851,100,1250
83,250,35.0,461,0.051898917000471556,"[np.int64(1), np.int64(1), np.int64(0), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,100,0.99,0.001,99.947853446415,100,1250
84,300,35.0,539,0.06206383399967308,"[np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1)]",geometric,100,0.99,0.001,99.93764321232557,100,1250
85,350,32.0,614,0.075090000000273,"[np.int64(0), np.int64(0), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(0), np.int64(0), np.int64(1), np.int64(1)]",geometric,100,0.99,0.001,99.92456049798739,100,1250
86,400,43.0,672,0.08725845899971318,"[np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,100,0.99,0.001,99.91234076127769,100,1250
87,450,43.0,728,0.10282358400036173,"[np.int64(0), np.int64(1), np.int64(0), np.int64(1), np.int64(1), np.int64(1), np.int64(1), np.int64(0), np.int64(1), np.int64(1)]",geometric,100,0.99,0.001,99.89671222329652,100,1250
