,Iteration,Time,Fitness,FEvals,Restarts,max_iters,current_restart
0,0,0.0001177909998659743,2761.0200486267336,0.0,5,100,0
1,1,0.0016141249998327112,2659.502295688581,2.0,5,100,0
2,2,0.0016762499999458669,2640.2911275523143,4.0,5,100,0
3,3,0.0017104159996961243,2640.2911275523143,5.0,5,100,0
4,4,0.0017437080005038297,2640.2911275523143,6.0,5,100,0
5,5,0.0017768750003597233,2640.2911275523143,7.0,5,100,0
6,6,0.0018096660005539889,2640.2911275523143,8.0,5,100,0
7,7,0.0018652500002644956,2568.9911772126084,10.0,5,100,0
8,8,0.0019210410009691259,2523.5970743738503,12.0,5,100,0
9,9,0.0019544580009096535,2523.5970743738503,13.0,5,100,0
10,10,0.001987458001167397,2523.5970743738503,14.0,5,100,0
11,11,0.0032673750010872027,2485.0243881847177,16.0,5,100,0
12,12,0.0033084580009017373,2485.0243881847177,17.0,5,100,0
13,13,0.0033686250008031493,2484.5527701119495,19.0,5,100,0
14,14,0.0034040830014419043,2484.5527701119495,20.0,5,100,0
15,15,0.003461791000518133,2475.079550254999,22.0,5,100,0
16,16,0.0034966660005011363,2475.079550254999,23.0,5,100,0
17,17,0.0035540410008252366,2258.738809351748,25.0,5,100,0
18,18,0.0035887499998352723,2258.738809351748,26.0,5,100,0
19,19,0.0036235000006854534,2258.738809351748,27.0,5,100,0
20,20,0.003658083000118495,2258.738809351748,28.0,5,100,0
21,21,0.004921249999824795,2224.1445324246097,30.0,5,100,0
22,22,0.004960833000950515,2224.1445324246097,31.0,5,100,0
23,23,0.0049971250009548385,2224.1445324246097,32.0,5,100,0
24,24,0.005032832999859238,2224.1445324246097,33.0,5,100,0
25,25,0.005091208000521874,2213.880591318593,35.0,5,100,0
26,26,0.0051269579998916015,2213.880591318593,36.0,5,100,0
27,27,0.005162500001461012,2213.880591318593,37.0,5,100,0
28,28,0.005198750001000008,2213.880591318593,38.0,5,100,0
29,29,0.005235415999777615,2213.880591318593,39.0,5,100,0
30,30,0.005294665999826975,2213.244112767658,41.0,5,100,0
31,31,0.006804624999858788,2213.244112767658,42.0,5,100,0
32,32,0.006845707999673323,2213.244112767658,43.0,5,100,0
33,33,0.006884375001391163,2213.244112767658,44.0,5,100,0
34,34,0.006922583001141902,2213.244112767658,45.0,5,100,0
35,35,0.006960458000321523,2213.244112767658,46.0,5,100,0
36,36,0.006998832999670412,2213.244112767658,47.0,5,100,0
37,37,0.007036500001049717,2213.244112767658,48.0,5,100,0
38,38,0.007098291000147583,2174.2838828866834,50.0,5,100,0
39,39,0.0071364160012308275,2174.2838828866834,51.0,5,100,0
40,40,0.007174125001256471,2174.2838828866834,52.0,5,100,0
41,41,0.012979208000615472,2174.2838828866834,53.0,5,100,0
42,42,0.01302883300013491,2174.2838828866834,54.0,5,100,0
43,43,0.013098125000396976,2146.0184694037926,56.0,5,100,0
44,44,0.013165291000404977,2143.9575072867165,58.0,5,100,0
45,45,0.013206958001319435,2143.9575072867165,59.0,5,100,0
46,46,0.013247916000182158,2143.9575072867165,60.0,5,100,0
47,47,0.013288375001138775,2143.9575072867165,61.0,5,100,0
48,48,0.013328791001185891,2143.9575072867165,62.0,5,100,0
49,49,0.01336904100026004,2143.9575072867165,63.0,5,100,0
50,50,0.013409625000349479,2143.9575072867165,64.0,5,100,0
51,51,0.015112750001208042,2134.891236714072,66.0,5,100,0
52,52,0.015158250000240514,2134.891236714072,67.0,5,100,0
53,53,0.01520087500102818,2134.891236714072,68.0,5,100,0
54,54,0.015242375000525499,2134.891236714072,69.0,5,100,0
55,55,0.015282915999705438,2134.891236714072,70.0,5,100,0
56,56,0.015323540999816032,2134.891236714072,71.0,5,100,0
57,57,0.015364000000772648,2134.891236714072,72.0,5,100,0
58,58,0.015404416000819765,2134.891236714072,73.0,5,100,0
59,59,0.015468000001419568,2131.4099179197156,75.0,5,100,0
60,60,0.015531708000708022,2063.1551818927983,77.0,5,100,0
61,61,0.017288666000240482,2063.1551818927983,78.0,5,100,0
62,62,0.017335000000457512,2063.1551818927983,79.0,5,100,0
63,63,0.017400875000021188,2039.3899242151551,81.0,5,100,0
64,64,0.017442666001443285,2039.3899242151551,82.0,5,100,0
65,65,0.017508041000837693,2028.1520596322666,84.0,5,100,0
66,66,0.01755020800010243,2028.1520596322666,85.0,5,100,0
67,67,0.01759354100067867,2028.1520596322666,86.0,5,100,0
68,68,0.01763737500004936,2028.1520596322666,87.0,5,100,0
69,69,0.017681375000393018,2028.1520596322666,88.0,5,100,0
70,70,0.01774929100065492,2004.3401242860252,90.0,5,100,0
71,71,0.019550625000192667,2004.3401242860252,91.0,5,100,0
72,72,0.019601625001087086,2004.3401242860252,92.0,5,100,0
73,73,0.01964695800052141,2004.3401242860252,93.0,5,100,0
74,74,0.01971645800040278,1998.832315553004,95.0,5,100,0
75,75,0.019762375000937027,1998.832315553004,96.0,5,100,0
76,76,0.019807624999884865,1998.832315553004,97.0,5,100,0
77,77,0.019853750000038417,1998.832315553004,98.0,5,100,0
78,78,0.019899291000911035,1998.832315553004,99.0,5,100,0
79,79,0.019944499999837717,1998.832315553004,100.0,5,100,0
80,80,0.019990208000308485,1998.832315553004,101.0,5,100,0
81,81,0.02174912500049686,1998.832315553004,102.0,5,100,0
82,82,0.021800458000143408,1998.832315553004,103.0,5,100,0
83,83,0.021847416001037345,1998.832315553004,104.0,5,100,0
84,84,0.02189320800061978,1998.832315553004,105.0,5,100,0
85,85,0.02196308299971861,1998.6233644856338,107.0,5,100,0
86,86,0.02203166599974793,1949.4387442767027,109.0,5,100,0
87,87,0.02207704100146657,1949.4387442767027,110.0,5,100,0
88,88,0.0221283749997383,1949.4387442767027,111.0,5,100,0
89,89,0.02219787500143866,1941.3551084109451,113.0,5,100,0
90,90,0.02224358300009044,1941.3551084109451,114.0,5,100,0
91,91,0.024094625001453096,1941.3551084109451,115.0,5,100,0
92,92,0.024151540999810095,1941.3551084109451,116.0,5,100,0
93,93,0.024202165999668068,1941.3551084109451,117.0,5,100,0
94,94,0.024250416001450503,1941.3551084109451,118.0,5,100,0
95,95,0.024297375000969623,1941.3551084109451,119.0,5,100,0
96,96,0.024345791000087047,1941.3551084109451,120.0,5,100,0
97,97,0.024393666000833036,1941.3551084109451,121.0,5,100,0
98,98,0.024441125000521424,1941.3551084109451,122.0,5,100,0
99,99,0.02448904100128857,1941.3551084109451,123.0,5,100,0
100,100,0.024536541000998113,1941.3551084109451,124.0,5,100,0
101,1,0.0016141249998327112,2390.5729829684965,126.0,5,100,1
102,2,0.0016762499999458669,2390.5729829684965,127.0,5,100,1
103,3,0.0017104159996961243,2390.5729829684965,128.0,5,100,1
104,4,0.0017437080005038297,2335.1537574028125,130.0,5,100,1
105,5,0.0017768750003597233,2335.1537574028125,131.0,5,100,1
106,6,0.0018096660005539889,2335.1537574028125,132.0,5,100,1
107,7,0.0018652500002644956,2335.1537574028125,133.0,5,100,1
108,8,0.0019210410009691259,2333.2161347462093,135.0,5,100,1
109,9,0.0019544580009096535,2333.2161347462093,136.0,5,100,1
110,10,0.001987458001167397,2333.2161347462093,137.0,5,100,1
111,11,0.0032673750010872027,2318.9156851193484,139.0,5,100,1
112,12,0.0033084580009017373,2276.6342783808755,141.0,5,100,1
113,13,0.0033686250008031493,2276.6342783808755,142.0,5,100,1
114,14,0.0034040830014419043,2276.6342783808755,143.0,5,100,1
115,15,0.003461791000518133,2276.6342783808755,144.0,5,100,1
116,16,0.0034966660005011363,2276.6342783808755,145.0,5,100,1
117,17,0.0035540410008252366,2261.214687563213,147.0,5,100,1
118,18,0.0035887499998352723,2178.5981514496957,149.0,5,100,1
119,19,0.0036235000006854534,2178.5981514496957,150.0,5,100,1
120,20,0.003658083000118495,2178.5981514496957,151.0,5,100,1
121,21,0.004921249999824795,2178.5981514496957,152.0,5,100,1
122,22,0.004960833000950515,2178.5981514496957,153.0,5,100,1
123,23,0.0049971250009548385,2178.5981514496957,154.0,5,100,1
124,24,0.005032832999859238,2178.5981514496957,155.0,5,100,1
125,25,0.005091208000521874,2178.5981514496957,156.0,5,100,1
126,26,0.0051269579998916015,2178.5981514496957,157.0,5,100,1
127,27,0.005162500001461012,2178.5981514496957,158.0,5,100,1
128,28,0.005198750001000008,2178.5981514496957,159.0,5,100,1
129,29,0.005235415999777615,2178.5981514496957,160.0,5,100,1
130,30,0.005294665999826975,2178.5981514496957,161.0,5,100,1
131,31,0.006804624999858788,2178.5981514496957,162.0,5,100,1
132,32,0.006845707999673323,2129.50165570586,164.0,5,100,1
133,33,0.006884375001391163,2066.9543496302895,166.0,5,100,1
134,34,0.006922583001141902,2029.3877249867496,168.0,5,100,1
135,35,0.006960458000321523,2029.3877249867496,169.0,5,100,1
136,36,0.006998832999670412,1987.5134118732556,171.0,5,100,1
137,37,0.007036500001049717,1982.433831069485,173.0,5,100,1
138,38,0.007098291000147583,1982.433831069485,174.0,5,100,1
139,39,0.0071364160012308275,1982.433831069485,175.0,5,100,1
140,40,0.007174125001256471,1982.433831069485,176.0,5,100,1
141,41,0.012979208000615472,1982.433831069485,177.0,5,100,1
142,42,0.01302883300013491,1982.433831069485,178.0,5,100,1
143,43,0.013098125000396976,1982.433831069485,179.0,5,100,1
144,44,0.013165291000404977,1951.302388182931,181.0,5,100,1
145,45,0.013206958001319435,1951.302388182931,182.0,5,100,1
146,46,0.013247916000182158,1950.9069765981442,184.0,5,100,1
147,47,0.013288375001138775,1950.9069765981442,185.0,5,100,1
148,48,0.013328791001185891,1950.9069765981442,186.0,5,100,1
149,49,0.01336904100026004,1950.9069765981442,187.0,5,100,1
150,50,0.013409625000349479,1950.9069765981442,188.0,5,100,1
