,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
89,89,0.31401454100000015,36.0,18094.0,200,0.1,1000
90,90,0.317490791,36.0,18295.0,200,0.1,1000
91,91,0.320907708,36.0,18496.0,200,0.1,1000
92,92,0.3243082909999999,36.0,18697.0,200,0.1,1000
93,93,0.3277207500000001,36.0,18898.0,200,0.1,1000
94,94,0.33113174999999995,36.0,19099.0,200,0.1,1000
95,95,0.33452179100000023,36.0,19300.0,200,0.1,1000
96,96,0.3379139580000001,36.0,19501.0,200,0.1,1000
97,97,0.3412860000000002,36.0,19702.0,200,0.1,1000
98,98,0.3446776250000001,36.0,19903.0,200,0.1,1000
99,99,0.34809041600000024,36.0,20104.0,200,0.1,1000
100,100,0.35148516600000024,36.0,20305.0,200,0.1,1000
101,101,0.35710266599999985,36.0,20506.0,200,0.1,1000
102,102,0.3605425000000002,36.0,20707.0,200,0.1,1000
103,103,0.3640429580000002,36.0,20908.0,200,0.1,1000
104,104,0.36756512500000005,36.0,21109.0,200,0.1,1000
105,105,0.37100316599999994,36.0,21310.0,200,0.1,1000
106,106,0.37443325000000005,36.0,21511.0,200,0.1,1000
107,107,0.37781016600000017,36.0,21712.0,200,0.1,1000
108,108,0.38138312500000016,36.0,21913.0,200,0.1,1000
