,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
0,0,24.08973559619128,10,0.0011551670004337211,"[np.int64(1), np.int64(4), np.int64(2), np.int64(0), np.int64(3)]",10,0.1,950
1,50,20.448909199308726,562,0.02909708400056843,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
2,100,20.448909199308726,1112,0.04702962500050489,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
3,150,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
4,200,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
5,250,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
6,300,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
7,350,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
8,400,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
9,450,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
10,500,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
11,550,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
12,600,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
13,650,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
14,700,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
15,750,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
16,800,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
17,850,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
18,900,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
19,950,20.448909199308726,1266,0.05391254200003459,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",10,0.1,950
20,0,24.08973559619128,60,0.000751749999835738,"[np.int64(1), np.int64(4), np.int64(2), np.int64(0), np.int64(3)]",60,0.1,950
21,50,20.448909199308726,3111,0.08233137499973964,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",60,0.1,950
22,100,20.448909199308726,6161,0.16360329200051638,"[np.int64(2), np.int64(1), np.int64(4), np.int64(3), np.int64(0)]",60,0.1,950
