,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
0,0,0.0011551670004337211,24.08973559619128,10.0,10,0.1,950
1,1,0.00936512499993114,21.088973588435596,22.0,10,0.1,950
2,2,0.00979979200019443,21.088973588435596,33.0,10,0.1,950
3,3,0.01019925000036892,21.088973588435596,44.0,10,0.1,950
4,4,0.010550375000093482,21.088973588435596,55.0,10,0.1,950
5,5,0.010900084000240895,21.088973588435596,66.0,10,0.1,950
6,6,0.011196125000424217,21.088973588435596,77.0,10,0.1,950
7,7,0.011476833999950031,21.088973588435596,88.0,10,0.1,950
8,8,0.011751167000511487,21.088973588435596,99.0,10,0.1,950
9,9,0.012041042000419111,21.088973588435596,110.0,10,0.1,950
10,10,0.01236079200043605,21.088973588435596,121.0,10,0.1,950
11,11,0.012635000000045693,21.088973588435596,132.0,10,0.1,950
12,12,0.012910749999718973,21.088973588435596,143.0,10,0.1,950
13,13,0.013196167000387504,21.088973588435596,154.0,10,0.1,950
14,14,0.013490875000570668,20.448909199308726,166.0,10,0.1,950
15,15,0.013777959000435658,20.448909199308726,177.0,10,0.1,950
16,16,0.014262583999880007,20.448909199308726,188.0,10,0.1,950
17,17,0.014636500000051456,20.448909199308726,199.0,10,0.1,950
18,18,0.014934292000361893,20.448909199308726,210.0,10,0.1,950
19,19,0.015217625000332191,20.448909199308726,221.0,10,0.1,950
20,20,0.015498208999815688,20.448909199308726,232.0,10,0.1,950
21,21,0.01586670899996534,20.448909199308726,243.0,10,0.1,950
22,22,0.01734620899969741,20.448909199308726,254.0,10,0.1,950
23,23,0.01847220899981039,20.448909199308726,265.0,10,0.1,950
24,24,0.018927291999716545,20.448909199308726,276.0,10,0.1,950
25,25,0.01933329199982836,20.448909199308726,287.0,10,0.1,950
26,26,0.019728541999938898,20.448909199308726,298.0,10,0.1,950
27,27,0.020023042000502755,20.448909199308726,309.0,10,0.1,950
28,28,0.02031725000051665,20.448909199308726,320.0,10,0.1,950
29,29,0.020603124999979627,20.448909199308726,331.0,10,0.1,950
30,30,0.020887124999717344,20.448909199308726,342.0,10,0.1,950
31,31,0.02117066699975112,20.448909199308726,353.0,10,0.1,950
32,32,0.021528709000449453,20.448909199308726,364.0,10,0.1,950
33,33,0.02201554200019018,20.448909199308726,375.0,10,0.1,950
34,34,0.022737041999789653,20.448909199308726,386.0,10,0.1,950
35,35,0.023224042000038025,20.448909199308726,397.0,10,0.1,950
36,36,0.0235525839998445,20.448909199308726,408.0,10,0.1,950
37,37,0.024029917000007117,20.448909199308726,419.0,10,0.1,950
38,38,0.024627542000416724,20.448909199308726,430.0,10,0.1,950
39,39,0.025064624999686203,20.448909199308726,441.0,10,0.1,950
40,40,0.02574762499989447,20.448909199308726,452.0,10,0.1,950
41,41,0.02624191700033407,20.448909199308726,463.0,10,0.1,950
42,42,0.026624459000231582,20.448909199308726,474.0,10,0.1,950
43,43,0.026966625000568456,20.448909199308726,485.0,10,0.1,950
44,44,0.02729091699984565,20.448909199308726,496.0,10,0.1,950
45,45,0.027587125000536616,20.448909199308726,507.0,10,0.1,950
46,46,0.02789395899981173,20.448909199308726,518.0,10,0.1,950
47,47,0.028191417000016372,20.448909199308726,529.0,10,0.1,950
48,48,0.028487624999797845,20.448909199308726,540.0,10,0.1,950
49,49,0.02879233400017256,20.448909199308726,551.0,10,0.1,950
50,50,0.02909708400056843,20.448909199308726,562.0,10,0.1,950
51,51,0.03292841700022109,20.448909199308726,573.0,10,0.1,950
52,52,0.033230791999812936,20.448909199308726,584.0,10,0.1,950
53,53,0.033513209000375355,20.448909199308726,595.0,10,0.1,950
54,54,0.033793958999922324,20.448909199308726,606.0,10,0.1,950
55,55,0.034075958999892464,20.448909199308726,617.0,10,0.1,950
56,56,0.034348625000347965,20.448909199308726,628.0,10,0.1,950
57,57,0.0346291249998103,20.448909199308726,639.0,10,0.1,950
58,58,0.03490908399999171,20.448909199308726,650.0,10,0.1,950
59,59,0.03518050000002404,20.448909199308726,661.0,10,0.1,950
60,60,0.03545200000007753,20.448909199308726,672.0,10,0.1,950
61,61,0.03572795899981429,20.448909199308726,683.0,10,0.1,950
62,62,0.036009084000397706,20.448909199308726,694.0,10,0.1,950
63,63,0.036287584000092465,20.448909199308726,705.0,10,0.1,950
64,64,0.036557334000463015,20.448909199308726,716.0,10,0.1,950
65,65,0.03684295899984136,20.448909199308726,727.0,10,0.1,950
66,66,0.037123666999832494,20.448909199308726,738.0,10,0.1,950
67,67,0.037414917000205605,20.448909199308726,749.0,10,0.1,950
68,68,0.03769575000023906,20.448909199308726,760.0,10,0.1,950
69,69,0.03797137499987002,20.448909199308726,771.0,10,0.1,950
70,70,0.03824145900034637,20.448909199308726,782.0,10,0.1,950
71,71,0.038552791999791225,20.448909199308726,793.0,10,0.1,950
72,72,0.038901417000488436,20.448909199308726,804.0,10,0.1,950
73,73,0.039241583999682916,20.448909199308726,815.0,10,0.1,950
74,74,0.039533625000331085,20.448909199308726,826.0,10,0.1,950
75,75,0.039821166999900015,20.448909199308726,837.0,10,0.1,950
76,76,0.040102500000102737,20.448909199308726,848.0,10,0.1,950
