,Iteration,Time,Fitness,FEvals,Population Size,Mutation Rate,max_iters
94,94,0.02875770900027419,47.0,1046.0,10,0.1,950
95,95,0.028971167000236164,47.0,1057.0,10,0.1,950
96,96,0.02918641700034641,47.0,1068.0,10,0.1,950
97,97,0.029398708999906376,47.0,1079.0,10,0.1,950
98,98,0.02961295900058758,47.0,1090.0,10,0.1,950
99,99,0.02982804200019018,47.0,1101.0,10,0.1,950
100,100,0.03003995900053269,47.0,1112.0,10,0.1,950
101,101,0.03218787500009057,47.0,1123.0,10,0.1,950
102,102,0.03241008400073042,47.0,1134.0,10,0.1,950
103,103,0.03262970900050277,47.0,1145.0,10,0.1,950
104,104,0.032845250000718806,47.0,1156.0,10,0.1,950
105,105,0.03306145900023694,47.0,1167.0,10,0.1,950
106,106,0.03328433400020003,47.0,1178.0,10,0.1,950
107,107,0.033505750000585977,47.0,1189.0,10,0.1,950
108,108,0.03372399999989284,47.0,1200.0,10,0.1,950
109,109,0.03395241700036422,47.0,1211.0,10,0.1,950
110,110,0.034171250000326836,47.0,1222.0,10,0.1,950
111,111,0.03439466700001503,47.0,1233.0,10,0.1,950
112,112,0.034614959000464296,47.0,1244.0,10,0.1,950
113,113,0.034835917000236805,47.0,1255.0,10,0.1,950
114,114,0.035057334000157425,47.0,1266.0,10,0.1,950
115,115,0.035279000000628,47.0,1277.0,10,0.1,950
116,116,0.035504041999956826,47.0,1288.0,10,0.1,950
117,117,0.035729834000449046,47.0,1299.0,10,0.1,950
118,118,0.03601162500035571,47.0,1310.0,10,0.1,950
119,119,0.03625925000051211,47.0,1321.0,10,0.1,950
120,120,0.036496292000265385,47.0,1332.0,10,0.1,950
121,121,0.03673333400001866,47.0,1343.0,10,0.1,950
122,122,0.03696495900021546,47.0,1354.0,10,0.1,950
123,123,0.037198500000158674,47.0,1365.0,10,0.1,950
124,124,0.03743212500012305,47.0,1376.0,10,0.1,950
125,125,0.037664084000425646,47.0,1387.0,10,0.1,950
126,126,0.03788925000026211,47.0,1398.0,10,0.1,950
127,127,0.0381184170000779,47.0,1409.0,10,0.1,950
128,128,0.038341125000442844,47.0,1420.0,10,0.1,950
129,0,0.00017783400016924134,18.0,60.0,60,0.1,950
130,1,0.0028357090004647034,44.0,122.0,60,0.1,950
131,2,0.0030972920003478066,46.0,184.0,60,0.1,950
132,3,0.0033235000000786385,46.0,245.0,60,0.1,950
133,4,0.0035416250002526795,47.0,307.0,60,0.1,950
134,5,0.0037586670005111955,47.0,368.0,60,0.1,950
135,6,0.003972375000557804,47.0,429.0,60,0.1,950
136,7,0.004185583999969822,47.0,490.0,60,0.1,950
137,8,0.0043975420003334875,47.0,551.0,60,0.1,950
138,9,0.0046012920001885504,47.0,612.0,60,0.1,950
139,10,0.004808209000657371,47.0,673.0,60,0.1,950
140,11,0.005016417000661022,47.0,734.0,60,0.1,950
141,12,0.005220667000685353,47.0,795.0,60,0.1,950
142,13,0.005424459000096249,47.0,856.0,60,0.1,950
143,14,0.005774042000666668,47.0,917.0,60,0.1,950
144,15,0.006000334000418661,47.0,978.0,60,0.1,950
145,16,0.006219249999958265,47.0,1039.0,60,0.1,950
146,17,0.006431042000258458,47.0,1100.0,60,0.1,950
147,18,0.0066433340007279185,47.0,1161.0,60,0.1,950
148,19,0.006853292000414513,47.0,1222.0,60,0.1,950
149,20,0.007057250000798376,47.0,1283.0,60,0.1,950
150,21,0.0072600000003149034,47.0,1344.0,60,0.1,950
151,22,0.0074620840005081845,47.0,1405.0,60,0.1,950
152,23,0.007664084000680305,47.0,1466.0,60,0.1,950
153,24,0.007866834000196832,47.0,1527.0,60,0.1,950
154,25,0.008072250000623171,47.0,1588.0,60,0.1,950
155,26,0.008278250000330445,47.0,1649.0,60,0.1,950
156,27,0.008489458999974886,47.0,1710.0,60,0.1,950
157,28,0.008707542000593094,47.0,1771.0,60,0.1,950
158,29,0.008915209000406321,47.0,1832.0,60,0.1,950
159,30,0.00912166700072703,47.0,1893.0,60,0.1,950
160,31,0.009333500000138883,47.0,1954.0,60,0.1,950
161,32,0.009539000000586384,47.0,2015.0,60,0.1,950
162,33,0.009747042000526562,47.0,2076.0,60,0.1,950
163,34,0.00995454200074164,47.0,2137.0,60,0.1,950
164,35,0.010161791999962588,47.0,2198.0,60,0.1,950
165,36,0.010373000000072352,47.0,2259.0,60,0.1,950
166,37,0.01057833400045638,47.0,2320.0,60,0.1,950
167,38,0.010786042000290763,47.0,2381.0,60,0.1,950
168,39,0.010994625000421365,47.0,2442.0,60,0.1,950
169,40,0.011202624999896216,47.0,2503.0,60,0.1,950
170,41,0.011416334000386996,47.0,2564.0,60,0.1,950
171,42,0.011623500000496279,47.0,2625.0,60,0.1,950
172,43,0.011830417000055604,47.0,2686.0,60,0.1,950
173,44,0.012126750000788888,47.0,2747.0,60,0.1,950
174,45,0.012343959000645555,47.0,2808.0,60,0.1,950
175,46,0.012554584000099567,47.0,2869.0,60,0.1,950
176,47,0.012766333999934432,47.0,2930.0,60,0.1,950
177,48,0.012978708999980881,47.0,2991.0,60,0.1,950
178,49,0.013196333999985654,47.0,3052.0,60,0.1,950
179,50,0.013412625000455591,47.0,3113.0,60,0.1,950
180,51,0.019328209000377683,47.0,3174.0,60,0.1,950
181,52,0.019558042000426212,47.0,3235.0,60,0.1,950
182,53,0.019779917000050773,47.0,3296.0,60,0.1,950
183,54,0.01999725000041508,47.0,3357.0,60,0.1,950
184,55,0.020210500000757747,47.0,3418.0,60,0.1,950
185,56,0.020426916999895184,47.0,3479.0,60,0.1,950
186,57,0.02063983400057623,47.0,3540.0,60,0.1,950
187,58,0.020853709000220988,47.0,3601.0,60,0.1,950
188,59,0.02106691700009833,47.0,3662.0,60,0.1,950
189,60,0.021287625000695698,47.0,3723.0,60,0.1,950
190,61,0.02150420900034078,47.0,3784.0,60,0.1,950
191,62,0.021724334000282397,47.0,3845.0,60,0.1,950
192,63,0.021935792000476795,47.0,3906.0,60,0.1,950
193,64,0.02215045899993129,47.0,3967.0,60,0.1,950
194,65,0.02235625000048458,47.0,4028.0,60,0.1,950
195,66,0.02257037500021397,47.0,4089.0,60,0.1,950
196,67,0.02278745900002832,47.0,4150.0,60,0.1,950
197,68,0.023000084000159404,47.0,4211.0,60,0.1,950
198,69,0.02321479200054455,47.0,4272.0,60,0.1,950
199,70,0.023431792000337737,47.0,4333.0,60,0.1,950
200,71,0.023642834000384028,47.0,4394.0,60,0.1,950
201,72,0.02385625000079017,47.0,4455.0,60,0.1,950
202,73,0.024065834000793984,47.0,4516.0,60,0.1,950
203,74,0.024279000000205997,47.0,4577.0,60,0.1,950
204,75,0.024489500000527187,47.0,4638.0,60,0.1,950
205,76,0.024708500000087952,47.0,4699.0,60,0.1,950
206,77,0.02492675000030431,47.0,4760.0,60,0.1,950
207,78,0.02513795899994875,47.0,4821.0,60,0.1,950
208,79,0.025347959000100673,47.0,4882.0,60,0.1,950
209,80,0.02556612500029587,47.0,4943.0,60,0.1,950
210,81,0.02578537499994127,47.0,5004.0,60,0.1,950
211,82,0.02600962500036985,47.0,5065.0,60,0.1,950
212,83,0.026236833999973896,47.0,5126.0,60,0.1,950
213,84,0.02646041700063506,47.0,5187.0,60,0.1,950
214,85,0.026674042000195186,47.0,5248.0,60,0.1,950
215,86,0.026896917000158282,47.0,5309.0,60,0.1,950
216,87,0.027120959000058065,47.0,5370.0,60,0.1,950
217,88,0.027341750000232423,47.0,5431.0,60,0.1,950
218,89,0.02759454200077016,47.0,5492.0,60,0.1,950
219,90,0.027881667000656307,47.0,5553.0,60,0.1,950
220,91,0.028106292000302346,47.0,5614.0,60,0.1,950
221,92,0.028329917000519345,47.0,5675.0,60,0.1,950
222,93,0.028544499999952677,47.0,5736.0,60,0.1,950
223,94,0.02875770900027419,47.0,5797.0,60,0.1,950
224,95,0.028971167000236164,47.0,5858.0,60,0.1,950
225,96,0.02918641700034641,47.0,5919.0,60,0.1,950
226,97,0.029398708999906376,47.0,5980.0,60,0.1,950
227,98,0.02961295900058758,47.0,6041.0,60,0.1,950
228,99,0.02982804200019018,47.0,6102.0,60,0.1,950
229,100,0.03003995900053269,47.0,6163.0,60,0.1,950
230,101,0.03218787500009057,47.0,6224.0,60,0.1,950
231,102,0.03241008400073042,47.0,6285.0,60,0.1,950
232,103,0.03262970900050277,47.0,6346.0,60,0.1,950
233,104,0.032845250000718806,47.0,6407.0,60,0.1,950
234,0,0.00017783400016924134,18.0,110.0,110,0.1,950
235,1,0.0028357090004647034,44.0,222.0,110,0.1,950
236,2,0.0030972920003478066,44.0,333.0,110,0.1,950
237,3,0.0033235000000786385,44.0,444.0,110,0.1,950
238,4,0.0035416250002526795,47.0,556.0,110,0.1,950
239,5,0.0037586670005111955,47.0,667.0,110,0.1,950
240,6,0.003972375000557804,47.0,778.0,110,0.1,950
241,7,0.004185583999969822,47.0,889.0,110,0.1,950
242,8,0.0043975420003334875,47.0,1000.0,110,0.1,950
243,9,0.0046012920001885504,47.0,1111.0,110,0.1,950
244,10,0.004808209000657371,47.0,1222.0,110,0.1,950
245,11,0.005016417000661022,47.0,1333.0,110,0.1,950
246,12,0.005220667000685353,47.0,1444.0,110,0.1,950
247,13,0.005424459000096249,47.0,1555.0,110,0.1,950
248,14,0.005774042000666668,47.0,1666.0,110,0.1,950
249,15,0.006000334000418661,47.0,1777.0,110,0.1,950
250,16,0.006219249999958265,47.0,1888.0,110,0.1,950
251,17,0.006431042000258458,47.0,1999.0,110,0.1,950
252,18,0.0066433340007279185,47.0,2110.0,110,0.1,950
253,19,0.006853292000414513,47.0,2221.0,110,0.1,950
254,20,0.007057250000798376,47.0,2332.0,110,0.1,950
255,21,0.0072600000003149034,47.0,2443.0,110,0.1,950
256,22,0.0074620840005081845,47.0,2554.0,110,0.1,950
257,23,0.007664084000680305,47.0,2665.0,110,0.1,950
258,24,0.007866834000196832,47.0,2776.0,110,0.1,950
259,25,0.008072250000623171,47.0,2887.0,110,0.1,950
260,26,0.008278250000330445,47.0,2998.0,110,0.1,950
261,27,0.008489458999974886,47.0,3109.0,110,0.1,950
262,28,0.008707542000593094,47.0,3220.0,110,0.1,950
